ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Name=\"Title\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" Group=\"_Hidden\" Type=\"Text\" DisplayName=\"Title\" Required=\"FALSE\" FromBaseType=\"TRUE\" DelayActivateTemplateBinding=\"GROUP,SPSPERS,SITEPAGEPUBLISHING\" Sealed=\"FALSE\" />","<Field Type=\"Text\" Name=\"ContactName\" DisplayName=\"Name\" ID=\"{d1b5e317-ee6c-474c-aafb-c1ada620228a}\" Group=\"\" Required=\"FALSE\" StaticName=\"ContactName\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Text\" Name=\"JobTitle\" DisplayName=\"Job Title\" ID=\"{10361529-3010-4a34-a622-19aa787f52ef}\" Group=\"\" Required=\"FALSE\" StaticName=\"JobTitle\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Text\" Name=\"OfficePhone\" DisplayName=\"Office Phone\" ID=\"{7b1fc5b1-66e9-4615-9d8a-0e76c5cbad93}\" Group=\"\" Required=\"FALSE\" StaticName=\"OfficePhone\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Text\" Name=\"MobilePhone\" DisplayName=\"Mobile Phone\" ID=\"{f6529e79-1d20-41ab-9b55-0b827058e66b}\" Group=\"\" Required=\"FALSE\" StaticName=\"MobilePhone\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Text\" Name=\"Email\" DisplayName=\"Email\" ID=\"{afab2c24-20a6-4fec-b118-fecda0517c04}\" Group=\"\" Required=\"FALSE\" StaticName=\"Email\" Hidden=\"FALSE\" ReadOnly=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field ID=\"{c042a256-787d-4a6f-8a8a-cf6ab767f12d}\" Type=\"Computed\" DisplayName=\"Content Type\" Name=\"ContentType\" DisplaceOnUpgrade=\"TRUE\" RenderXMLUsingPattern=\"TRUE\" Sortable=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"ContentType\" Group=\"_Hidden\" PITarget=\"MicrosoftWindowsSharePointServices\" PIAttribute=\"ContentTypeID\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"ContentTypeId\" /></FieldRefs><DisplayPattern><MapToContentType><Column Name=\"ContentTypeId\" /></MapToContentType></DisplayPattern></Field>"]}
"Name","Job Title","Office Phone","Mobile Phone","Email","Customer"
"Barbara Allen","CFO","576-709-8646","658-698-9756","barbara.allen@foodservicepartners.com","Food Service Partners"
"Donald Torres","VP","859-887-8795","761-542-8868","donald.torres@professionalservicesgroup.com","Professional Services Group"
"Joshua Wright","Analyst","543-481-5471","218-565-3424","joshua.wright@professionalservicesgroup.com","Professional Services Group"
"Daniel Flores","Senior Manager","762-505-4814","662-892-6445","daniel.flores@professionalservicesgroup.com","Professional Services Group"
"Maria Nguyen","IT Manager","665-854-9435","920-841-4695","maria.nguyen@mediacommunications.com","Media Communications"
"Helen Moore","Representative","656-923-2846","659-395-9982","helen.moore@mediacommunications.com","Media Communications"
"Mark Rodriguez","Assistant","798-322-9723","559-432-2660","mark.rodriguez@pharmaceuticalresearch.com","Pharmaceutical Research"
"Linda Allen","Senior Manager","578-967-5092","644-220-5607","linda.allen@pharmaceuticalresearch.com","Pharmaceutical Research"
"Jennifer Moore","Administrator","998-217-8395","457-981-8871","jennifer.moore@pharmaceuticalresearch.com","Pharmaceutical Research"
"Anthony Flores","Representative","582-777-4542","782-413-6234","anthony.flores@realestateventures.com","Real Estate Ventures"
"Charles Perez","Consultant","766-911-3488","274-425-1572","charles.perez@realestateventures.com","Real Estate Ventures"
"Joshua Wright","CFO","344-554-7659","470-416-9097","joshua.wright@realestateventures.com","Real Estate Ventures"
"Lisa Walker","Representative","777-637-4950","888-314-3934","lisa.walker@insurancespecialists.com","Insurance Specialists"
"Sarah Jones","Manager","485-209-3600","655-741-9735","sarah.jones@insurancespecialists.com","Insurance Specialists"
"Sarah Wilson","Technician","286-799-4605","597-909-1890","sarah.wilson@insurancespecialists.com","Insurance Specialists"
"Joseph Thomas","Coordinator","787-639-8053","644-292-2859","joseph.thomas@agriculturalsystems.com","Agricultural Systems"
"Charles Young","Specialist","537-822-9321","357-295-3704","charles.young@agriculturalsystems.com","Agricultural Systems"
"Ruth Harris","Technician","978-590-8637","378-943-1737","ruth.harris@agriculturalsystems.com","Agricultural Systems"
"Dorothy Martin","Director","419-537-1896","841-418-8085","dorothy.martin@hotelmanagementgroup.com","Hotel Management Group"
"Andrew Martin","Director","888-325-4729","594-618-4058","andrew.martin@hotelmanagementgroup.com","Hotel Management Group"
"Thomas Hill","Officer","215-649-5192","386-993-7715","thomas.hill@hotelmanagementgroup.com","Hotel Management Group"
"Linda Lee","HR Manager","884-256-3519","633-286-8780","linda.lee@automotivepartsplus.com","Automotive Parts Plus"
"Barbara Davis","Administrator","257-683-9120","290-634-4849","barbara.davis@automotivepartsplus.com","Automotive Parts Plus"
"Michael Nguyen","Administrator","521-387-6170","618-550-5327","michael.nguyen@automotivepartsplus.com","Automotive Parts Plus"
"Jennifer Thomas","CFO","680-551-3336","875-229-6534","jennifer.thomas@textilemanufacturing.com","Textile Manufacturing"
"Andrew Nguyen","Project Manager","264-699-6247","935-780-7633","andrew.nguyen@textilemanufacturing.com","Textile Manufacturing"
"Sandra Wilson","Operations Manager","320-300-4749","853-640-3625","sandra.wilson@environmentalservices.com","Environmental Services"
"Christopher Perez","Engineer","530-878-6152","957-367-6661","christopher.perez@environmentalservices.com","Environmental Services"
"Linda Scott","Coordinator","843-521-5576","795-989-7624","linda.scott@sportsrecreation.com","Sports & Recreation"
"Elizabeth Hernandez","Director","715-417-9506","788-777-6482","elizabeth.hernandez@sportsrecreation.com","Sports & Recreation"
"Joshua Thompson","CEO","938-841-2397","736-825-4468","joshua.thompson@securitysolutions.com","Security Solutions"
"Dorothy Martinez","Quality Manager","862-357-3875","474-229-5655","dorothy.martinez@securitysolutions.com","Security Solutions"
"Elizabeth Moore","Project Manager","429-472-3033","352-912-9398","elizabeth.moore@chemicalprocessing.com","Chemical Processing"
"Christopher Lewis","COO","687-435-9739","553-867-1090","christopher.lewis@chemicalprocessing.com","Chemical Processing"
"Joshua Martin","IT Manager","205-555-9793","745-244-2266","joshua.martin@chemicalprocessing.com","Chemical Processing"
"Ruth Thompson","Engineer","734-445-4122","420-749-4167","ruth.thompson@publishinghouse.com","Publishing House"
"Andrew Harris","Marketing Manager","886-683-5518","858-616-5804","andrew.harris@publishinghouse.com","Publishing House"
"Karen Lopez","Project Manager","358-229-2242","892-960-3198","karen.lopez@miningoperations.com","Mining Operations"
"Joshua Miller","Consultant","220-518-6761","386-488-4715","joshua.miller@miningoperations.com","Mining Operations"
"William Jones","VP","267-901-9382","731-502-2915","william.jones@telecommunicationsinc.com","Telecommunications Inc"
"Matthew Hill","Executive","262-517-4555","309-308-8743","matthew.hill@telecommunicationsinc.com","Telecommunications Inc"
"Patricia Scott","Executive","726-425-9296","352-732-7662","patricia.scott@wastemanagementco.com","Waste Management Co"
"Dorothy Thompson","HR Manager","892-790-3768","508-224-3115","dorothy.thompson@wastemanagementco.com","Waste Management Co"
"Donna Wright","Technician","916-741-9135","995-915-3131","donna.wright@consultingexperts.com","Consulting Experts"
"David Williams","IT Manager","559-581-1464","300-330-6139","david.williams@consultingexperts.com","Consulting Experts"
"Elizabeth Scott","Consultant","267-342-9659","972-988-6218","elizabeth.scott@consultingexperts.com","Consulting Experts"
